COUNTRY,CYCLE YEAR 1,CYCLE YEAR 2,ARTICLE/GR,CEDAW RECOMMENDATION,IMPLEMENTATION STATUS ,STATE ACTION,CATEGORY 1,INCOME STATUS,HUMANITARIAN CRISIS STATUS,Form of violence,Form of violence 2,Intersectional features,CSO commentary,Completed row? (Y/N),Violence,Forced,Sexual harassment,IPV,Femicide,FGM,Stalking,Rape,Forced marriage,Combined GBV
BANGLADESH,2011,2016,General Recommendation 35,""" ensure the implementation of the
existing legal framework including enactment of legislation on sexual
harassment""",Partial,""" High Court in 2010 provided guidelines to
employers and educational institutions to form policies to address sexual harassment
in work places, educational institutions and other public places. The High Court also
directed the Government to enact legislation to address sexual harassment in public
places."" Intention but no action",Access to justice (legal aid and legal protection),Lower middle ,Y,,,,,,0,0,1,0,0,0,0,0,0,1
BANGLADESH,2011,2016,General Recommendation 23,"all forms of sexual abuse are criminalized, that perpetrators are prosecuted  ",Implemented," Domestic Violence (Prevention and Protection) Act, approved in 2010 (herein after DV Act) criminalizes VAW. ",Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BANGLADESH,2011,2016,General Recommendation 27,"""victims of violence have access to immediate means of redress,
rehabilitation and protection""",Unacknowledged,N/A,Access to justice (responses and remedies for injustice),Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BANGLADESH,2011,2016,General Recommendation 47, Establish a database to collect data and information ,Implemented,""" A web-based Integrated Crime Data
Management System at the Police Headquarters preserves every reported incidence
of violence"" ",Data collection,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BANGLADESH,2011,2016,General Recommendation 51, Undertake studies and/or surveys on the extent of such violence and its root causes.,Implemented,""" A national survey on VAW carried out in 2011 by Bangladesh Bureau of Statistics (BBS)"" ",Data collection,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BANGLADESH,2011,2016,General Recommendation 43,Establish counselling services and sufficient number of shelters ,Implemented,"""The Multi-Sectoral Program on Violence Against Women
(MSP-VAW) provides health care, police assistance, DNA test, social services, legal
assistance, psychological counselling and shelter for the woman victims through
8 One-stop Crisis Centres (OCCs)"" ",Grass roots initiatives/projects,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BANGLADESH,2011,2016,Article 1,"""Extend the application of the guarantees of equal rights between women and men to the private
sphere in its Constitution"". ""enforce a zero tolerance policy with respect to sexual abuse and harassment in schools, provide safe transportation to and from schools and safe educational environment free from discrimination and violence and ensure that perpetrators are punished appropriately""",Not implemented,N/A,Legislation/policy change,Lower middle ,Y,,,,,,1,0,0,0,0,0,0,0,0,1
BARBADOS,2002,2017,General recommendation 19,"The Committee urges the State party to place a high priority on measures to address violence against women in the family and in society in accordance with the Committee’s general recommendation 19. The Committee urges the State party to strengthen its activities and programmes to focus on sexual violence, sexual crimes, incest and prostitution, especially prostitution associated with tourism, and to provide comprehensive training for the judiciary, the police, medical personnel and other relevant groups on all forms of violence against women, including domestic violence. The Committee recommends that the State party devise a structure for systematic data collection on violence against women, including domestic violence, disaggregated by sex.",Implemented,"The Bureau of Gender Affairs has done some training with respect to domestic violence. Regular police training now also includes a module on domestic violence after a training of trainers project on the issue was given by the Caribbean Association for Feminist Research and Action in 2004. The officer in charge of this training at the Regional Police Training Centre has herself received training internationally on this issue, and seeks to improve the module to satisfy the needs of front-line officers in particular. 
The Government continues to give subventions towards the Shelter for Battered Women which was set up by the Business and Professional Women’s Club of Barbados. The number of murders of women that occurred during the reporting period is a special concern to the state. To this end, beyond the normal effort and additional time being given to addressing the issues of violence against women and against men by the Bureau of Gender Affairs, it has increased resources in terms of personnel and institutions within the police service to deal with the issue of intimate partner violence. The next report of Barbados to CEDAW will demonstrate",Governance and coordination,High,N,,,,,,1,0,0,1,0,0,0,0,0,1
BARBADOS,2002,2017,General recommendation 19,"The Committee urges the State party to consider defining marital rape to include circumstances of de facto separation, and to create awareness of the legal remedies so that offenders can be prosecuted and punished. The Committee requests information on cases prosecuted under the Sexual Offences Act in the State party’s next periodic report",Partial,"Marital rape is included in the Sexual Offenses Act only for cases of legal separation. However, the Bureau of Gender Affairs submitted proposed amendments in 2013 which are currently before Cabinet for consideration which extend the definition of rape to include de facto separation",Legislation/policy change,High,N,,,,,,0,0,0,0,0,0,0,1,0,1
BARBADOS,2002,2017,"Article 2, Article 11(1)(f), General Recommendation 19","The Committee recommends the introduction of policies to ensure the prosecution of, and strong penalties for, those who exploit prostitutes. In view of the growing emphasis on tourism in the State party, the Committee requests it to provide in its next report comprehensive information and data on the trafficking of women and girls and their exploitation in prostitution and the measures taken to prevent and combat these activities",Implemented,The outcome of all of these activities is that legislation on human trafficking was passed in 2011. Participants at the final Town Hall Meeting affirmed that they held the state responsible for protecting women who were in the country illegally even as the state seeks to assert its immigration and other legal policies. They wanted it recognised that this was a hidden crucible where violence against women is being perpetrated and forged,Legislation/policy change,High,N,,,,,,1,0,0,0,0,0,0,0,0,1
BELARUS,2011,2016,"Article 3, General Recommendation 19","""Provide adequate assistance and protection to women victims of violence""",Partial,"""Crisis rooms were set up in local social-services centres in pilot regions""",Health systems strengthening,Upper middle,N,,,,,,1,0,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,"Article 2, Article 3, Article 11(1)(f)","The Committee also encourages the Government to intensify its programmes for women entrepreneurs, including access to loans, credits and skill development, as well as to ensure that educational and vocational training opportunities for girls include nontraditional and emerging areas of the economy, such as the information and communications field. The Committee also invites the Government to ensure that women can fully exercise their right to unionize, and that all applicable
legislation in this regard is enforced, including in special economic zones. ",Implemented,"222.	The National Gender Policy aims to improve women’s access to credit:

•	GOB will examine the possible merit of amending banking legislation to establish the right of a woman to apply as femme sole for a loan.
•	GOB will examine possible measures to ease the burden for women in meeting collateral requirements for bank loans, including the adoption of appropriate alternatives.
•	The Women’s Department will liaise and consult with BEST, DFC and SFBB to develop local strategies for facilitating access to finance by women in southern districts.
•	Measures will be examined to facilitate women’s access to affordable credit for home purchase, and Ministry of Housing policies will make special provision for single-headed households, via reduced interest rates.
 
•	The Women’s Department will collaborate with credit providers in the development and implementation of in-service training of credit officers on gender issues in accessing credit.
•	Barriers to women accessing credit due to the small amounts sought compared to the administrative requirements will be examined.
•	Gender-disaggregated data on lending by banks, credit unions and non-commercial financial institutions will be collected and collated, and forwarded annually to the SIC and Women’s Department",Governance and coordination,Lower middle ,N,,,,,,0,1,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,"Article 2, Article 3","The Committee commends the Government for the introduction of the Commonwealth gender management system to ensure that a gender perspective is reflected in all governmental policies and programmes, and requests that an assessment of progress made in this regard be included in the next report",Partial,"There is recognition of the need for continuous revision of the laws to ensure the elimination of all forms of gender discrimination and unequal treatment of women. As stated in the National Gender Policy, there is recognition that “policy and legislation reforms to achieve gender equality frequently fail to produce the intended outcomes. That is, they remain inequitable in their effects”. Enforcement is therefore key to making meaningful advances in this regard.  Although the Domestic Violence Act has been passed, prevailing attitudes limit the successful application and enforcement of the provisions of the Act. As an actual domestic violence case suggests, the presiding Magistrate Court Judge refused to provide a protection order to the battered woman, and instead ruled that she “give her husband another chance”. Without programs to change discriminatory attitudes and practices in the social protection and judicial systems, legal reform will continue to have negligible effects in eliminating all forms of discrimination against women",Governance and coordination (establishing human rights infrastructure),Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,"Article 2, Article 3, Article 11(1)(f)","The Committee encourages the Government to implement a single minimum wage. It recommends that a national childcare policy be developed to support working mothers. It also urges the Government to assess the reasons for women’s lower earnings, and for their voluntary departure from the labour market with a view to adopting adequate measures to reverse this trend.  ",Implemented,"Additionally, the National Women’s Commission has developed a National Gender Policy which aims to achieve gender equity and equality by eliminating discrimination against women in five priority policy areas: Health, Wealth and Employment Generation, Violence-Producing Conditions, Education and Skills Training, and Power and Decision-Making.     26.	The Wages Councils Act was amended, through a statutory instrument, to eliminate the differential minimum wages established for male and female dominated jobs",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,"Article 2, Article 10(h), Article 12"," revise its abortion laws, in particular since according to the information, existing legislation penalizing abortion is not strictly enforced. It also urges the Government to include age-appropriate sex education in school curricula and to conduct awareness campaigns so as to reduce teenage pregnancy rates and to increase girls’ and women’s life choices. ",Implemented,"186.	The National Gender Policy includes the following commitments:
•	Women who have an unwanted pregnancy shall be afforded access to confidential and compassionate counseling and reliable information on all options which they have available to them, as a means of enabling a woman to make a fully-informed decision free of imposed options.
•	Counseling, information and services shall be provided for women who encounter complications during pregnancy, and which result in the loss of the fetus, including services in the event of post-operatives complications.
•	In consultation with relevant stakeholders, GOB will begin the process of reviewing all laws containing punitive measures against women who have procured illegal abortions.
•	Statistics collated through the National Health Information System will seek to make a distinction between miscarriages and induced abortions.

187.	The Sexual and Reproductive Health Policy also commits the Government of Belize to:

•	Remove laws containing punitive measure which inhibit women and couples seeking counseling to continue their pregnancy and remove laws containing punitive measures prohibiting the accessing of counseling and mental health for those who have undergone illegal abortion. In no case should abortions be promoted as a family planning method.
•	Provide compassionate counseling and reliable information for women who have unwanted pregnancies.”",Legislation/policy change,Lower middle ,N,,,,,,0,1,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,Article 12,"The Committee also urges the Government to implement
programmes and policies aiming to increase knowledge about, and availability of, various types of contraceptives, with the understanding that family planning is a joint responsibility of both partners
",Implemented,"166.	Although the Belize Family Life Association initially offered family planning services which focused on child spacing, it has since broadened its services to now include gender relations, negotiation skills for family decision-making, use of condoms for STI prevention (including HIV/AIDS), family violence counseling, parenting skills and cancer screening",Awareness campaign,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BELIZE ,1999,2005,"Article 2, General Recommedation 19","The Committee urges the Government to seek, as a priority, the repeal in the Criminal
Code of the marital immunity relating to rape",Implemented,"In 1999, the Criminal Code was amended to provide for the offence of marital rape:

68A (1) A male spouse commits marital rape against the female spouse if the first mentioned spouse has sexual intercourse with the other spouse in any of the circumstances specified in subsection (2) : 

a)	Without consent of the female spouse; and
b)	Knowing that the female spouse does not consent to sexual intercourse, or recklessly not caring whether the female spouse consents or not",Legislation/policy change,Lower middle ,N,,,,,,0,0,0,0,0,0,0,1,0,1
BELIZE ,1999,2005,"Article 2, General Recommedation 19", recommends that the Criminal Code be kept under review with a view to placing sexual offence and violence on a par with other criminal offences. It also urges the Government to ensure that investigation and prosecution of rape and sexual offence cases are conducted as rigorously as in other criminal cases. ,Implemented,"The Evidence Act, Chapter 95, was amended to protect the rights of rape victims during testimony at trial:

74 - (1) Where a man is prosecuted for rape or for an attempt to commit rape then, except with the leave of the judge, no evidence and no question in cross-examination shall be adduced or asked at the trial, by or on behalf of any defendant at the trial, about any sexual experience of a complainant with a person other than the defendant.

20.	Requirements for corroborating evidence for the crime of rape were withdrawn:

	92 - (3) Where at trial on indictment – 

a)	a person is prosecuted for rape, attempted rape, carnal knowledge or any other sexual offence, and the only evidence for the prosecution is that of the person upon whom the offence is alleged to have been committed or attempted; or

b)	an alleged accomplice of the accused gives evidence for the prosecution,

the Judge shall, where he considers it appropriate to do so, warn the jury of the special need for caution before acting on the evidence of such person and he shall also explain the reasons for the need for such caution.

21.	Although trials dealing with Carnal Knowledge are by law conducted in Camera, such is not the case with trials dealing with the crime of rape. Whether or not a trial for the crime of rape will be conducted in Camera remains up to the Judge’s discretion",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,1,0,1
BENIN,2005,2011,Article 5(a),"The Committee requests the State party to provide information in its next report on the laws and policies in place to deal with violence against women and the impact of such measures.""",Unacknowledged,No state action taken ,Data collection,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BENIN,2005,2011,Article 3,"The Committee recommends that training be undertaken for the judiciary and public officials, particularly law enforcement personnel, and for health-service providers so as to ensure that they are sensitized to all forms of violence against women and can adequately respond to it. It also recommends the implementation of awareness-raising campaigns through the media and public education programmes, and the working towards a zero-tolerance policy on all forms of violence against women. ",Partial,"To compensate for shortcomings in the legal framework, part of the aforementioned Empower project — run by CARE International in partnership with the Ministry for the Family and the Women’s Justice and Empowerment Initiative in partnership with the Ministry of Justice, Legislation and Human Rights and with funding from USAID — is devoted to training criminal investigation officers and judges in issues relating to genderbased violence and dealing with victims of such violence, who are almost always women.""",Governance and coordination,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BENIN,2005,2011,"Article 2
","""The Committee urges the State party to accord priority attention to the adoption of comprehensive measures to combat violence against women and girls in accordance with its general recommendation 19 on violence against women. 
The Committee calls on the State party to enact legislation on domestic violence, including marital rape, and legislation concerning all forms of sexual abuse, and to ensure that women and girls, including domestic servants, who are victims of violence have access to immediate means of redress and protection and that perpetrators are prosecuted and punished. 
",Partial,"""On Thursday, 26 November 2009, women’s rights NGOs went before deputies of the National Assembly to propose a list of forms of violence against women that could be covered by a law. If the initiative is accepted, the deputies will put forward a bill on that basis punishing rape, paedophilia, incest, harassment, abortion, pimping, the corruption of minors, female genital mutilation, mental abuse and other offences.

The draft criminal code, which is pending a vote by the National Assembly, has partially taken into account concerns relating to violence against women. For example, rape is expressly defined in the draft and carries a maximum penalty of life imprisonment when it is accompanied by torture or barbaric acts. However, other matters involving violence against women are not covered.

",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,1,0,1,0,1
BHUTAN,2009,2015,General recommendation 19,"""enact legislation, including
on domestic violence"" to criminalise violence, prosecute perpetrators and protect victims.",Implemented,"""The DVPA mandates establishment of appropriate procedures and services that are required to adequately support the victims and hold the perpetrators accountable""",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 2 ,"Ensure that law faculties provide courses in international human rights law, including the Convention and the Optional Protocol thereto.",Implemented,"All public and private universities have incorporated the subjects of “International Law” and “Human Rights” in their curriculum; Likewise, the postgraduate offer also includes these matters, in application of Article 24.I of Law 348. It should be noted that the “International and National Legislation Diploma against Structural Violence” is currently in the validation stage; a similar one related to the prevention of Gender Violence in its third version with the Police University, as well as a Diploma in the subject taught by the Plurinational Public Management School.    ",Awareness campaign,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,"Article 2, Article 14(2)(b)&(d) ","Enhance women’s awareness of their rights and the means to enforce them, targeting specific groups of women such as indigenous women, Afro-Bolivian women living in rural and remote areas and women with disabilities, including by facilitating access to information on the Convention in indigenous languages and accessible formats aimed at reaching women with disabilities, in cooperation with civil society and the media. ",Partial,"On the awareness of women regarding the recognition and exercise of their rights, a permanent task of disseminating printed, digital and audiovisual material is being carried out, which seeks to promote the eradication of all types of violence and discrimination against women. The Communication Strategy ""Bring your rights to life"" is in force, whereby the dissemination and promotion of Law 348 is carried out. A Protocol for the informative approach to gender-based violence against women was also printed and socialized, in the exercise of a violence-free journalism. In the last steps, campaigns for women's rights were implemented, against gender violence and machismo. Most of the materials produced emphasize various sections of Law 348 and other standards in specific campaigns and special events.

During the past year 2018, spots of the most diverse nature were elaborated and disseminated, among others, the Women Parliamentary Summit in Cochabamba was widely disseminated and sensitized. The radio Illimani Patria Nueva, made five informative capsules, which have in their content the fight against violence against women. Specific communication projects that benefit women and the training of journalists were channeled. The axes of de- patriarization and decolonization, were mainstreamed in the content of the “Tying Cabos” program, broadcast daily on the Radio Revolution, in a chain with 90 radios, thus having coverage in the 9 departments of the country, discussing issues of political situation, related with depatriarization in daily news.

Among the current policies led and executed by the MJTI, the “Community Based Rehabilitation” Program is implemented, which constitutes the strategy for rehabilitation, equal opportunities, poverty reduction and social integration of people with disabilities in their own community with priority to women with disabilities. Likewise, there is the “Community education at home for people with disabilities” Program, of the Ministry of Education (ME) whose objective is to contribute to their educational, humanistic technical training, including adaptations, methodological adaptations, institutional educational materials that allow access to education without discrimination because of their disability status.",Awareness campaign,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,"Article 2, Article 3","Accelerate the implementation of the National Plan for Equality of Opportunities by adopting a strategy that clearly defines the competencies of national and local authorities regarding the Plan, analysing official data and regularly monitoring and allocating adequate human and financial resources for its implementation.",Implemented," In the context of compliance with the PNIO (national plan) , Agenda patriarchalization for ""Living Well"" generated the creation of the first Special Office to Combat Violence Against Women and Children. Concurrently, the creation of the Plurinational Service for Women and the Depatriarcation “Ana María Romero”, instituted as a decentralized public law entity with its own assets and management autonomy, designed to monitor, monitor and evaluate compliance with public policies towards depatriarization .             
 Its main functions are to monitor, monitor and evaluate compliance with regulations and public policies in this area; promote, propose and recommend the elaboration and execution of public policies, oriented towards de- patriarization and mainstreaming of economic, political, social, cultural, communicational and other rights; coordinate with the sector head entities, the development and execution of programs and projects for women's access to employment, credit, land, technology, information, public services and others that favor the effective exercise of women's rights; provide support in cases of social relevance of violence against women; coordinate with the corresponding bodies social support for women, girls, adolescents, older adults, women deprived of liberty, women with disabilities and others in situations of vulnerability; promote the coordination and articulation of women authorities of the central, departmental, regional, municipal, indigenous, native, peasant and social, trade union and popular organizations for the implementation of public policies. It finances its activities with resources from the National General Treasury, Credits and / or internal or external donations and other sources of financing.      ",Data collection,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 5(a),"Develop a comprehensive strategy targeting women, men, girls and boys in order to overcome patriarchal and gender-based stereotypical attitudes about the roles and responsibilities of women and men in family and society, and strengthen awareness-raising campaigns at the community level.",Implemented,"The Vice Ministry of Decolonization, under the Ministry of Culture and Tourism, was created to confront gender-based patriarchal and stereotyped attitudes, with powers to develop policies for the prevention and eradication of all forms of discrimination, racism, xenophobia and cultural intolerance. The General Directorate for the Fight against Racism has been created , on which the Depatriarchalization Unit depends, whose mission is to “de- patriarize the colonial and neoliberal State, families, society and religion”. Its objectives are ""to make visible, destabilize, put into crisis the patriarchal relations and transform the existing power relations in the Plurinational State to constitute a just and harmonious society"", thus allowing to design norms and public policies that effectively promote and coordinate the application of a strategy for depatriarcation in all areas and levels of the State.             

The Permanent Council of the National Committee against Racism and all Forms of Discrimination approved the Multisectoral Plan of the Plurinational State of Bolivia against Racism and all forms of Discrimination 2016-2020 , which aims to improve the quality of life of vulnerable populations, according to the Development Plan Economic and Social and the Patriotic 2025. Agenda The Program ""Routes in the pushed patriarchalization "" held in the cuar to quarter of management 2018 .

The “ Gender Plan in the Defense Sector” was projected through the Ministry of Defense              [64] composed of 7 normative instruments as guides of action: the Gender Council in the Defense sector, Transversalization of Law 348, in the disciplinary regulations in the FF.AA., Protocol for the attention of cases of workplace harassment, harassment and labor sexual harassment in the Defense sector, Protocol of attention of cases of domestic violence in the Defense sector, Administrative Manual for Gender Units in the FF.AA., Manual of Good Practices, administrative language with a gender perspective in the sector Defense and Inspection Guide with a gender focus in the Defense sector [65] .

The Multisectoral Plan for Integral Development-Plurinational Plan for Girls, Boys and Adolescents (PMD / PPNNA) was also prepared to guarantee the full enjoyment of the rights of children and adolescents, with intersectoral functions developed by the Public Sector and Private at all levels of the State              [66] . It was the product of an interactive dialogue of the Committees of Girls, Children and Adolescents of the 9 departments, representations of the Executive Branch, the GAD, GAM, civil society and other institutional representations.

",Awareness campaign,Lower middle ,N,,,,,,1,0,1,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 5(a),"Adopt a strategy to raise the awareness of and provide training to public and private media workers on gender to prevent gender stereotypes in the media and in advertising, in cooperation with women’s organizations.",Partial,"In October 2017, the ""Being a Girl. For equality, protection and empowerment of girls and adolescents"" Campaign was launched to sensitize the general population, informing about the situations faced by girls and adolescents and for those who are exposed to various forms of discrimination, social disadvantage and even tend to be victims of violence.     ",Awareness campaign,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,General recommendation 19,"Develop, as a matter of priority and within a specific time frame, a strategy to prevent violence against women, with the participation of various stakeholders, including high-level government officials, and considering the special situations of risk to indigenous and Afro-Bolivian women, women with disabilities, migrant and refugee women and women in detention",Unacknowledged,No state action taken ,Multisectoral collaboration,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,General recommendation 19,Implement the single registry on domestic violence and the information system on domestic violence and ensure that periodic reports on violence against women are available and made public.,Unacknowledged,No state action taken ,Data collection,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,General recommendation 19,"Strengthen the mandate of the “Genoveva Ríos” special police force against violence at the national, departmental and municipal levels and provide capacity-building to the police officers to enable them to discharge their duties in a gender-sensitive manner, and address stigmatization of victims of violence.",Unacknowledged,No state action taken ,Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,General recommendation 19,Ensure that forensic medical personnel receive regular training on gender-sensitive examination and investigation procedures in cases of violence against women.,Unacknowledged,No state action taken ,Health systems strengthening,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 4,"Adopt temporary special measures, including statutory quotas, in accordance with article 4 (1) of the Convention and the Committee’s general recommendation No. 25, to promote the equal participation of women, especially indigenous women, in national, departmental and municipal governments, the judiciary and the international representation of the Plurinational State of Bolivia, especially in high-level decision-making positions, and to monitor the progress achieved.",Partial,"For the promotion and protection of women's political participation in different decision spaces, the Law on Political Organizations was enacted               that, in addition to regulating the constitution, functioning and internal democracy of political organizations, it establishes the incorporation of a de- localization regime internally of the political organization for the promotion of parity and alternation, equal opportunities and implementation of affirmative actions, through an internal instance as part of its decision structure. It conditions political parties to consign a declaration of principles that include respect for the political rights of women, which rejects racism and all forms of discrimination. Internal democracy must respect democratic and peer procedures, the latter being guaranteed in the nomination process.

 Internally, political organizations must exercise plurinationality, interculturality, parity, equality, diversity and institutional and political pluralism, in addition to fighting against racism and all forms of discrimination. Qualifying as a serious infraction, the breach of the principle of parity and alternation between women and men in the conformation of the lists of candidates for an electoral process, of delegations, leaderships or others; as well as the omission to process and / or sanction cases of harassment and political violence and very serious, the harassment and political violence proved by means of an executed criminal sentence.

Important electoral regulations issued on gender parity and equity allowed the creation of the Gender Unit, under the Bolivian Supreme Electoral Tribunal and the adoption of a 2016-2020 Institutional Strategic Plan with strategic lines of work aimed at deepening intercultural democracy and joint.

 The “Democratic Parity Observatory”  regarding political participation, compliance with parity and political rights of women in representative, participatory and community democracy allowed the dissemination of the national and international regulatory framework, made visible the monitoring of the progress of political participation of The women promoted the conduct of studies and research, spaces for debate and reflection, reporting, monitoring and surveillance of harassment and political violence, among others. In the period January 2016 to June 2019, 133 councilors filed a complaint and resignation for harassment and political violence, 7 departmental assembly members and 1 indigenous peasant indigenous authority, adding a total of 141 women, who agreed to the mechanisms created to make their rights prevail .

",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 5(a),"Establish a programme aimed at combating the prevailing stereotypes of women in politics, raising awareness of the importance of the free and equal participation of women, in particular indigenous women, in political life.",Partial,"The “Campaign for the Permanence of Women in their Offices, without Harassment or Political Violence” was implemented through radio and social networks; 2 radio wedges were produced that were broadcast on 9 radio stations in all departments in Castilian, Aymara and Quechua languages; banners were prepared for social networks and posters were distributed with substantial information on the procedures adopted. ",Awareness campaign,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 10(h),Strengthen protective measures for girls against sexual violence in the education environment.,Unacknowledged,No state action taken ,Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,Article 11(1)(f),"Promote women’s access to formal employment and adopt a time-bound plan to implement ILO Recommendation No. 204 concerning the Transition from the Informal to the Formal Economy (2015), with a view to facilitating women’s access to the formal economy.",Implemented,"Women's access to formal employment and / or transition from informal employment is promoted in an intersectoral manner; Thus, according to information from the Ministry of Productive Development and Plural Economy ( MDPyEP ), permanent work has been carried out on the incorporation of the gender approach and de- localization in the institutional management, establishing an institutional history on the incorporation of gender from different actions.          

In the 2018 management, the “Gender strategy for the empowerment of women in the productive, industrial and commercial sector” was presented, which was incorporated in all entities and companies dependent on the aforementioned MDPyEP . The National Urban and Peri-urban Agriculture Program (PNAUP), through its planned activities, included the participation of women in achieving the objectives of improving nutritional food security and income generation in households with poverty in urban areas and periurban of the country. The same with national reach benefits Family Productive Units of the Indigenous Peoples Indigenous Peoples , with a gender approach. It was implemented in 7 departments, with funding resources allocated and executed with budget of the Departmental Autonomous Governments and Municipal Autonomous Governments. Until 2017, 1,499 women entrepreneurs have benefited in the production of vegetables, 80% of the entire population of project beneficiaries.

We also work on the gender approach from the Regulations for the Authorization and Use of Seals Made in Bolivia and Bolivian Social  , which, in relation to gender issues, specifically regulate: “(…) that the activities carried out by the productive units must be carried out in accordance with Law 045 against Racism and all Forms of Discrimination and Law 348, same that provide for the prohibition of any discriminatory practice and exercise of any form of violence within the productive units that threaten the economic, social and cultural rights of the people, due to their gender status, (…) ”.

 Since 2014, the “Technological Revolution in Education” Program has been implemented, with the delivery of 187,776 KUAA computer equipment, to students nationwide until September 14, 2018, benefiting 89,569 women, which is equivalent to 47% of the total. The Corporate Social Responsibility Guide has been approved to implement socially responsible practices in productive units of the industrial manufacturing sector, in the social, environmental and economic fields, which incorporates aspects related to the gender approach.

 ProBolivia  works on a project aimed specifically at the socio-economic empowerment of women in the productive sector, with a gender approach, called ""Project for the Improvement of the Quality of Life and Empowerment of Women in the Amazon North"".

The Cookie Making Program for the Bolivian Almond and Derivatives Company is also executed - EBA  through the area of ",Legislation/policy change,Lower middle ,N,,,,,,1,0,0,0,0,0,0,0,0,1
BOLIVIA,2015,2020,"Article 12,
Article 2,
General recommendation 24, Article 12","Amend relevant legal provisions to decriminalize abortion and ensure that it is legally available in cases of threats to the life or health of the pregnant woman, rape, incest and serious impairment of the foetus, in addition to ensuring the appropriate implementation of the Constitutional Court ruling abolishing the requirement of judicial authorization for access to abortion in cases of rape or incest. ",Implemented,"Article 266 of the Ordered Text of the Bolivian Criminal Code , with the nomen juris (Abortion Impune) provides that when the abortion had been the result of a crime of rape, abduction not followed by marriage, stupor or incest, no penalty will be applied. Nor will it be punishable if it had been practiced in order to avoid a danger to the life or health of the mother and if this danger could not be avoided by other means. In both cases, the abortion must be performed by a doctor with the woman's consent.

The “Technical Procedure for the Provision of Health Services in the framework of SCP 0206/2014” was implemented ” , considering that said constitutional ruling extends the grounds for legal abortion, nullifies the need for judicial authorization for the legal practice of abortion when the pregnancy was a consequence of events classified as crimes, that is, sexual assaults, pregnancy resulting from a relationship sexual with a relative or pregnancy of a minor with an adult. In these cases, the victim is authorized to terminate the pregnancy, presenting the copy of the complaint to the competent authorities. Likewise, the Judgment confirms the impunity of those abortions performed in the context of pregnancies risky to the health and life of the pregnant woman.

Since 2018, the PD intervened in 8 cases of legal termination of pregnancy, subject to the aforementioned SCP 0206/2014 and the Technical Procedure for the Provision of Health Services, complying with such protocol in all cases.        ",Legislation/policy change,Lower middle ,N,,,,,,0,0,0,0,0,0,0,1,0,1
